state_name,year,all_cause,natural_cause,week_ending_date
United States,2014,30889,28636,2014-01-04
United States,2014,55715,51827,2014-01-11
United States,2014,54681,50947,2014-01-18
United States,2014,54175,50503,2014-01-25
United States,2014,54049,50370,2014-02-01
United States,2014,53492,49778,2014-02-08
United States,2014,53931,50175,2014-02-15
United States,2014,52746,48991,2014-02-22
United States,2014,51759,47883,2014-03-01
United States,2014,52147,48321,2014-03-08
United States,2014,51885,48082,2014-03-15
United States,2014,51462,47748,2014-03-22
United States,2014,50943,47477,2014-03-29
United States,2014,50845,47084,2014-04-05
United States,2014,50631,46782,2014-04-12
United States,2014,49816,46088,2014-04-19
United States,2014,49830,46084,2014-04-26
United States,2014,49691,45802,2014-05-03
United States,2014,50412,46486,2014-05-10
United States,2014,48012,44324,2014-05-17
United States,2014,48684,44908,2014-05-24
United States,2014,48246,44318,2014-05-31
United States,2014,47849,43770,2014-06-07
United States,2014,47818,43919,2014-06-14
United States,2014,47627,43650,2014-06-21
United States,2014,47415,43441,2014-06-28
United States,2014,47334,43147,2014-07-05
United States,2014,47368,43400,2014-07-12
United States,2014,47189,43329,2014-07-19
United States,2014,47209,43330,2014-07-26
United States,2014,47038,43234,2014-08-02
United States,2014,46990,42963,2014-08-09
United States,2014,46742,42766,2014-08-16
United States,2014,46717,42726,2014-08-23
United States,2014,46479,42395,2014-08-30
United States,2014,47391,43220,2014-09-06
United States,2014,46905,43006,2014-09-13
United States,2014,48056,44087,2014-09-20
United States,2014,48496,44496,2014-09-27
United States,2014,48446,44537,2014-10-04
United States,2014,49460,45379,2014-10-11
United States,2014,49322,45364,2014-10-18
United States,2014,49137,45233,2014-10-25
United States,2014,49037,45185,2014-11-01
United States,2014,51055,47024,2014-11-08
United States,2014,50455,46565,2014-11-15
United States,2014,52569,48545,2014-11-22
United States,2014,51871,47890,2014-11-29
United States,2014,52825,48809,2014-12-06
United States,2014,53654,49644,2014-12-13
United States,2014,54736,50704,2014-12-20
United States,2014,56131,52215,2014-12-27
United States,2014,59481,55297,2015-01-03
United States,2015,61883,57736,2015-01-10
United States,2015,61267,57143,2015-01-17
United States,2015,58743,54694,2015-01-24
United States,2015,57386,53516,2015-01-31
United States,2015,57399,53279,2015-02-07
United States,2015,56520,52592,2015-02-14
United States,2015,56467,52443,2015-02-21
United States,2015,55791,51862,2015-02-28
United States,2015,55849,51720,2015-03-07
United States,2015,55383,51236,2015-03-14
United States,2015,54375,50293,2015-03-21
United States,2015,53341,49476,2015-03-28
United States,2015,53127,49083,2015-04-04
United States,2015,52791,48764,2015-04-11
United States,2015,52947,48879,2015-04-18
United States,2015,51720,47755,2015-04-25
United States,2015,51585,47547,2015-05-02
United States,2015,51749,47452,2015-05-09
United States,2015,50787,46550,2015-05-16
United States,2015,49434,45340,2015-05-23
United States,2015,49823,45719,2015-05-30
United States,2015,49141,44818,2015-06-06
United States,2015,49855,45535,2015-06-13
United States,2015,49229,44967,2015-06-20
United States,2015,49176,44864,2015-06-27
United States,2015,49347,45027,2015-07-04
United States,2015,49026,44530,2015-07-11
United States,2015,49345,44964,2015-07-18
United States,2015,48665,44403,2015-07-25
United States,2015,48397,43993,2015-08-01
United States,2015,47888,43426,2015-08-08
United States,2015,48076,43834,2015-08-15
United States,2015,48557,44210,2015-08-22
United States,2015,48624,44337,2015-08-29
United States,2015,48827,44363,2015-09-05
United States,2015,48897,44500,2015-09-12
United States,2015,48939,44868,2015-09-19
United States,2015,49339,45069,2015-09-26
United States,2015,48927,44768,2015-10-03
United States,2015,51052,46562,2015-10-10
United States,2015,49943,45683,2015-10-17
United States,2015,50765,46580,2015-10-24
United States,2015,50483,46356,2015-10-31
United States,2015,51280,46963,2015-11-07
United States,2015,50753,46669,2015-11-14
United States,2015,51506,47361,2015-11-21
United States,2015,51300,47288,2015-11-28
United States,2015,52094,47904,2015-12-05
United States,2015,53654,49382,2015-12-12
United States,2015,51962,47815,2015-12-19
United States,2015,52876,48843,2015-12-26
United States,2015,52653,48563,2016-01-02
United States,2016,55933,51769,2016-01-09
United States,2016,55660,51478,2016-01-16
United States,2016,55286,51263,2016-01-23
United States,2016,55723,51492,2016-01-30
United States,2016,55001,50670,2016-02-06
United States,2016,55227,50907,2016-02-13
United States,2016,55895,51559,2016-02-20
United States,2016,55002,50718,2016-02-27
United States,2016,56009,51580,2016-03-05
United States,2016,56232,51691,2016-03-12
United States,2016,54555,50084,2016-03-19
United States,2016,54775,50326,2016-03-26
United States,2016,53986,49555,2016-04-02
United States,2016,54187,49603,2016-04-09
United States,2016,53603,49253,2016-04-16
United States,2016,53260,48811,2016-04-23
United States,2016,51164,46851,2016-04-30
United States,2016,51378,46925,2016-05-07
United States,2016,51117,46570,2016-05-14
United States,2016,50563,46364,2016-05-21
United States,2016,50591,46069,2016-05-28
United States,2016,49823,45282,2016-06-04
United States,2016,50031,45373,2016-06-11
United States,2016,50002,45401,2016-06-18
United States,2016,49729,45144,2016-06-25
United States,2016,49854,45146,2016-07-02
United States,2016,49796,44952,2016-07-09
United States,2016,49744,45096,2016-07-16
United States,2016,49382,44718,2016-07-23
United States,2016,49803,45046,2016-07-30
United States,2016,49662,44792,2016-08-06
United States,2016,49837,45164,2016-08-13
United States,2016,49922,45278,2016-08-20
United States,2016,49610,45018,2016-08-27
United States,2016,49691,45090,2016-09-03
United States,2016,50207,45319,2016-09-10
United States,2016,50038,45516,2016-09-17
United States,2016,49995,45489,2016-09-24
United States,2016,50373,45882,2016-10-01
United States,2016,51523,46683,2016-10-08
United States,2016,52251,47631,2016-10-15
United States,2016,51575,47054,2016-10-22
United States,2016,51971,47384,2016-10-29
United States,2016,51872,47180,2016-11-05
United States,2016,52639,48049,2016-11-12
United States,2016,53553,48870,2016-11-19
United States,2016,53236,48657,2016-11-26
United States,2016,54636,49897,2016-12-03
United States,2016,55246,50548,2016-12-10
United States,2016,56110,51624,2016-12-17
United States,2016,56819,52222,2016-12-24
United States,2016,57771,53209,2016-12-31
United States,2017,59898,54964,2017-01-07
United States,2017,61124,56325,2017-01-14
United States,2017,59444,54765,2017-01-21
United States,2017,58176,53451,2017-01-28
United States,2017,58537,53828,2017-02-04
United States,2017,59162,54318,2017-02-11
United States,2017,58604,54045,2017-02-18
United States,2017,58385,53838,2017-02-25
United States,2017,57359,52555,2017-03-04
United States,2017,57597,52712,2017-03-11
United States,2017,56790,52268,2017-03-18
United States,2017,57161,52374,2017-03-25
United States,2017,55828,51200,2017-04-01
United States,2017,55267,50399,2017-04-08
United States,2017,54969,50238,2017-04-15
United States,2017,53175,48574,2017-04-22
United States,2017,53404,48659,2017-04-29
United States,2017,52753,47918,2017-05-06
United States,2017,52083,47436,2017-05-13
United States,2017,52574,47720,2017-05-20
United States,2017,51101,46313,2017-05-27
United States,2017,51369,46415,2017-06-03
United States,2017,51525,46550,2017-06-10
United States,2017,50933,46089,2017-06-17
United States,2017,51317,46351,2017-06-24
United States,2017,50751,45839,2017-07-01
United States,2017,51090,45807,2017-07-08
United States,2017,50124,45301,2017-07-15
United States,2017,50240,45359,2017-07-22
United States,2017,49493,44665,2017-07-29
