state_name,year,all_cause,natural_cause,week_ending_date
Alabama,2014,355,327,2014-01-04
Alabama,2014,872,792,2014-01-11
Alabama,2014,1044,971,2014-01-18
Alabama,2014,1022,967,2014-01-25
Alabama,2014,1040,953,2014-02-01
Alabama,2014,992,910,2014-02-08
Alabama,2014,942,885,2014-02-15
Alabama,2014,990,933,2014-02-22
Alabama,2014,958,875,2014-03-01
Alabama,2014,988,903,2014-03-08
Alabama,2014,974,910,2014-03-15
Alabama,2014,934,866,2014-03-22
Alabama,2014,926,875,2014-03-29
Alabama,2014,949,874,2014-04-05
Alabama,2014,924,862,2014-04-12
Alabama,2014,986,922,2014-04-19
Alabama,2014,914,848,2014-04-26
Alabama,2014,933,855,2014-05-03
Alabama,2014,916,856,2014-05-10
Alabama,2014,925,858,2014-05-17
Alabama,2014,892,838,2014-05-24
Alabama,2014,932,871,2014-05-31
Alabama,2014,922,827,2014-06-07
Alabama,2014,838,771,2014-06-14
Alabama,2014,774,712,2014-06-21
Alabama,2014,727,663,2014-06-28
Alabama,2014,671,617,2014-07-05
Alabama,2014,683,616,2014-07-12
Alabama,2014,751,683,2014-07-19
Alabama,2014,847,778,2014-07-26
Alabama,2014,848,791,2014-08-02
Alabama,2014,891,832,2014-08-09
Alabama,2014,829,763,2014-08-16
Alabama,2014,741,665,2014-08-23
Alabama,2014,588,530,2014-08-30
Alabama,2014,700,624,2014-09-06
Alabama,2014,729,677,2014-09-13
Alabama,2014,764,702,2014-09-20
Alabama,2014,933,851,2014-09-27
Alabama,2014,866,804,2014-10-04
Alabama,2014,917,838,2014-10-11
Alabama,2014,924,870,2014-10-18
Alabama,2014,890,828,2014-10-25
Alabama,2014,918,854,2014-11-01
Alabama,2014,817,749,2014-11-08
Alabama,2014,805,740,2014-11-15
Alabama,2014,933,870,2014-11-22
Alabama,2014,986,903,2014-11-29
Alabama,2014,995,942,2014-12-06
Alabama,2014,1036,975,2014-12-13
Alabama,2014,1117,1036,2014-12-20
Alabama,2014,1068,1001,2014-12-27
Alabama,2014,1103,1035,2015-01-03
Alabama,2015,1139,1069,2015-01-10
Alabama,2015,1140,1066,2015-01-17
Alabama,2015,1043,965,2015-01-24
Alabama,2015,1076,999,2015-01-31
Alabama,2015,1110,1042,2015-02-07
Alabama,2015,1070,998,2015-02-14
Alabama,2015,1066,1001,2015-02-21
Alabama,2015,1102,1042,2015-02-28
Alabama,2015,1206,1120,2015-03-07
Alabama,2015,1103,1014,2015-03-14
Alabama,2015,1003,923,2015-03-21
Alabama,2015,983,914,2015-03-28
Alabama,2015,955,875,2015-04-04
Alabama,2015,975,910,2015-04-11
Alabama,2015,902,831,2015-04-18
Alabama,2015,996,919,2015-04-25
Alabama,2015,977,910,2015-05-02
Alabama,2015,900,826,2015-05-09
Alabama,2015,893,826,2015-05-16
Alabama,2015,862,801,2015-05-23
Alabama,2015,816,732,2015-05-30
Alabama,2015,749,677,2015-06-06
Alabama,2015,881,802,2015-06-13
Alabama,2015,902,821,2015-06-20
Alabama,2015,932,847,2015-06-27
Alabama,2015,905,826,2015-07-04
Alabama,2015,926,847,2015-07-11
Alabama,2015,920,855,2015-07-18
Alabama,2015,919,839,2015-07-25
Alabama,2015,904,821,2015-08-01
Alabama,2015,910,818,2015-08-08
Alabama,2015,958,872,2015-08-15
Alabama,2015,866,806,2015-08-22
Alabama,2015,918,847,2015-08-29
Alabama,2015,928,847,2015-09-05
Alabama,2015,957,875,2015-09-12
Alabama,2015,907,828,2015-09-19
Alabama,2015,933,854,2015-09-26
Alabama,2015,878,827,2015-10-03
Alabama,2015,918,844,2015-10-10
Alabama,2015,789,722,2015-10-17
Alabama,2015,794,734,2015-10-24
Alabama,2015,909,838,2015-10-31
Alabama,2015,866,801,2015-11-07
Alabama,2015,928,858,2015-11-14
Alabama,2015,995,928,2015-11-21
Alabama,2015,974,903,2015-11-28
Alabama,2015,914,851,2015-12-05
Alabama,2015,899,826,2015-12-12
Alabama,2015,768,707,2015-12-19
Alabama,2015,778,706,2015-12-26
Alabama,2015,912,847,2016-01-02
Alabama,2016,1008,938,2016-01-09
Alabama,2016,1044,956,2016-01-16
Alabama,2016,1029,953,2016-01-23
Alabama,2016,1020,944,2016-01-30
Alabama,2016,1103,1043,2016-02-06
Alabama,2016,1098,1011,2016-02-13
Alabama,2016,1114,1037,2016-02-20
Alabama,2016,962,878,2016-02-27
Alabama,2016,1006,929,2016-03-05
Alabama,2016,1035,961,2016-03-12
Alabama,2016,1009,919,2016-03-19
Alabama,2016,1001,917,2016-03-26
Alabama,2016,959,896,2016-04-02
Alabama,2016,1006,932,2016-04-09
Alabama,2016,942,888,2016-04-16
Alabama,2016,1011,934,2016-04-23
Alabama,2016,966,873,2016-04-30
Alabama,2016,963,888,2016-05-07
Alabama,2016,945,869,2016-05-14
Alabama,2016,918,844,2016-05-21
Alabama,2016,941,853,2016-05-28
Alabama,2016,954,862,2016-06-04
Alabama,2016,967,866,2016-06-11
Alabama,2016,877,803,2016-06-18
Alabama,2016,979,887,2016-06-25
Alabama,2016,903,814,2016-07-02
Alabama,2016,903,811,2016-07-09
Alabama,2016,965,895,2016-07-16
Alabama,2016,927,849,2016-07-23
Alabama,2016,927,862,2016-07-30
Alabama,2016,918,841,2016-08-06
Alabama,2016,921,847,2016-08-13
Alabama,2016,979,877,2016-08-20
Alabama,2016,942,856,2016-08-27
Alabama,2016,918,846,2016-09-03
Alabama,2016,912,842,2016-09-10
Alabama,2016,947,868,2016-09-17
Alabama,2016,986,906,2016-09-24
Alabama,2016,939,849,2016-10-01
Alabama,2016,958,866,2016-10-08
Alabama,2016,973,900,2016-10-15
Alabama,2016,907,829,2016-10-22
Alabama,2016,964,891,2016-10-29
Alabama,2016,952,873,2016-11-05
Alabama,2016,1029,958,2016-11-12
Alabama,2016,1004,932,2016-11-19
Alabama,2016,1029,957,2016-11-26
Alabama,2016,1033,949,2016-12-03
Alabama,2016,1057,966,2016-12-10
Alabama,2016,1049,972,2016-12-17
Alabama,2016,1134,1048,2016-12-24
Alabama,2016,1104,1027,2016-12-31
Alabama,2017,1121,1049,2017-01-07
Alabama,2017,1130,1046,2017-01-14
Alabama,2017,1048,968,2017-01-21
Alabama,2017,1026,943,2017-01-28
Alabama,2017,1036,934,2017-02-04
Alabama,2017,1058,985,2017-02-11
Alabama,2017,1060,974,2017-02-18
Alabama,2017,1099,1013,2017-02-25
Alabama,2017,1081,1004,2017-03-04
Alabama,2017,1011,920,2017-03-11
Alabama,2017,1067,993,2017-03-18
Alabama,2017,1068,977,2017-03-25
Alabama,2017,991,903,2017-04-01
Alabama,2017,1037,963,2017-04-08
Alabama,2017,1017,941,2017-04-15
Alabama,2017,966,894,2017-04-22
Alabama,2017,996,918,2017-04-29
Alabama,2017,907,839,2017-05-06
Alabama,2017,1064,982,2017-05-13
Alabama,2017,998,906,2017-05-20
Alabama,2017,988,889,2017-05-27
Alabama,2017,925,851,2017-06-03
Alabama,2017,984,889,2017-06-10
Alabama,2017,918,832,2017-06-17
Alabama,2017,961,873,2017-06-24
Alabama,2017,925,839,2017-07-01
Alabama,2017,954,859,2017-07-08
Alabama,2017,968,888,2017-07-15
Alabama,2017,964,875,2017-07-22
Alabama,2017,888,805,2017-07-29
Alabama,2017,949,879,2017-08-05
Alabama,2017,936,854,2017-08-12
Alabama,2017,933,864,2017-08-19
Alabama,2017,917,838,2017-08-26
Alabama,2017,953,874,2017-09-02
Alabama,2017,960,898,2017-09-09
Alabama,2017,968,889,2017-09-16
Alabama,2017,995,904,2017-09-23
Alabama,2017,1019,927,2017-09-30
Alabama,2017,948,872,2017-10-07
Alabama,2017,986,917,2017-10-14
Alabama,2017,966,889,2017-10-21
Alabama,2017,941,877,2017-10-28
Alabama,2017,994,906,2017-11-04
Alabama,2017,994,907,2017-11-11
Alabama,2017,982,894,2017-11-18
Alabama,2017,1004,931,2017-11-25
Alabama,2017,1067,977,2017-12-02
Alabama,2017,1074,988,2017-12-09
