state_name,year,all_deaths
Alabama,1999,44806
Alaska,1999,2708
Arizona,1999,40050
Arkansas,1999,27925
California,1999,229380
Colorado,1999,27114
Connecticut,1999,29446
Delaware,1999,6666
District of Columbia,1999,6076
Florida,1999,163224
Georgia,1999,62028
Hawaii,1999,8270
Idaho,1999,9579
Illinois,1999,108436
Indiana,1999,55303
Iowa,1999,28411
Kansas,1999,24472
Kentucky,1999,39321
Louisiana,1999,41238
Maine,1999,12261
Maryland,1999,43089
Massachusetts,1999,55840
Michigan,1999,87232
Minnesota,1999,38537
Mississippi,1999,28185
Missouri,1999,55931
Montana,1999,8128
Nebraska,1999,15579
Nevada,1999,15082
New Hampshire,1999,9537
New Jersey,1999,73981
New Mexico,1999,13676
New York,1999,159927
North Carolina,1999,69600
North Dakota,1999,6103
Ohio,1999,108517
Oklahoma,1999,34700
Oregon,1999,29422
Pennsylvania,1999,130283
Rhode Island,1999,9708
South Carolina,1999,36053
South Dakota,1999,6953
Tennessee,1999,53765
Texas,1999,146858
United States,1999,2391399
Utah,1999,12058
Vermont,1999,4993
Virginia,1999,55320
Washington,1999,43865
West Virginia,1999,21049
Wisconsin,1999,46672
Wyoming,1999,4042
Alabama,2000,45062
Alaska,2000,2914
Arizona,2000,40500
Arkansas,2000,28217
California,2000,229551
Colorado,2000,27288
Connecticut,2000,30129
Delaware,2000,6875
District of Columbia,2000,6001
Florida,2000,164395
Georgia,2000,63870
Hawaii,2000,8290
Idaho,2000,9563
Illinois,2000,106634
Indiana,2000,55469
Iowa,2000,28060
Kansas,2000,24717
Kentucky,2000,39504
Louisiana,2000,41138
Maine,2000,12354
Maryland,2000,43753
Massachusetts,2000,56681
Michigan,2000,86953
Minnesota,2000,37690
Mississippi,2000,28654
Missouri,2000,54865
Montana,2000,8096
Nebraska,2000,14992
Nevada,2000,15261
New Hampshire,2000,9697
New Jersey,2000,74800
New Mexico,2000,13425
New York,2000,158203
North Carolina,2000,71935
North Dakota,2000,5856
Ohio,2000,108125
Oklahoma,2000,35079
Oregon,2000,29552
Pennsylvania,2000,130813
Rhode Island,2000,10027
South Carolina,2000,36948
South Dakota,2000,7021
Tennessee,2000,55246
Texas,2000,149939
United States,2000,2403351
Utah,2000,12364
Vermont,2000,5127
Virginia,2000,56282
Washington,2000,43941
West Virginia,2000,21114
Wisconsin,2000,46461
Wyoming,2000,3920
Alabama,2001,45316
Alaska,2001,2974
Arizona,2001,41058
Arkansas,2001,27759
California,2001,234044
Colorado,2001,28294
Connecticut,2001,29827
Delaware,2001,7112
District of Columbia,2001,5951
Florida,2001,167269
Georgia,2001,64485
Hawaii,2001,8394
Idaho,2001,9753
Illinois,2001,105430
Indiana,2001,55198
Iowa,2001,27791
Kansas,2001,24647
Kentucky,2001,39861
Louisiana,2001,41757
Maine,2001,12421
Maryland,2001,43839
Massachusetts,2001,56754
Michigan,2001,86424
Minnesota,2001,37735
Mississippi,2001,28259
Missouri,2001,54982
Montana,2001,8265
Nebraska,2001,15174
Nevada,2001,16285
New Hampshire,2001,9815
New Jersey,2001,74710
New Mexico,2001,14129
New York,2001,159240
North Carolina,2001,70934
North Dakota,2001,6048
Ohio,2001,108027
Oklahoma,2001,34682
Oregon,2001,30158
Pennsylvania,2001,129729
Rhode Island,2001,10021
South Carolina,2001,36612
South Dakota,2001,6923
Tennessee,2001,55151
Texas,2001,152779
United States,2001,2416425
Utah,2001,12662
Vermont,2001,5201
Virginia,2001,56280
Washington,2001,44642
West Virginia,2001,20967
Wisconsin,2001,46628
Wyoming,2001,4029
Alabama,2002,46069
Alaska,2002,3030
Arizona,2002,42816
Arkansas,2002,28513
California,2002,234565
Colorado,2002,29210
Connecticut,2002,30122
Delaware,2002,6861
District of Columbia,2002,5851
Florida,2002,167814
Georgia,2002,65449
Hawaii,2002,8801
Idaho,2002,9923
Illinois,2002,106667
Indiana,2002,55396
Iowa,2002,27978
Kansas,2002,25021
Kentucky,2002,40697
Louisiana,2002,41984
Maine,2002,12694
Maryland,2002,43970
Massachusetts,2002,56928
Michigan,2002,87795
Minnesota,2002,38510
Mississippi,2002,28853
Missouri,2002,55940
Montana,2002,8506
Nebraska,2002,15738
Nevada,2002,16927
New Hampshire,2002,9853
New Jersey,2002,74009
New Mexico,2002,14344
New York,2002,158118
North Carolina,2002,72027
North Dakota,2002,5892
Ohio,2002,109766
Oklahoma,2002,35502
Oregon,2002,31119
Pennsylvania,2002,130223
Rhode Island,2002,10246
South Carolina,2002,37736
South Dakota,2002,6898
Tennessee,2002,56606
Texas,2002,155524
United States,2002,2443387
Utah,2002,13116
Vermont,2002,5075
Virginia,2002,57196
Washington,2002,45338
West Virginia,2002,21016
Wisconsin,2002,46981
Wyoming,2002,4174
Alabama,2003,46716
Alaska,2003,3180
Arizona,2003,43392
Arkansas,2003,27918
California,2003,239371
Colorado,2003,29506
Connecticut,2003,29627
Delaware,2003,7070
District of Columbia,2003,5573
Florida,2003,168657
Georgia,2003,66478
Hawaii,2003,8978
Idaho,2003,10380
Illinois,2003,105325
Indiana,2003,55968
Iowa,2003,28062
Kansas,2003,24593
Kentucky,2003,40241
Louisiana,2003,42719
Maine,2003,12540
Maryland,2003,44499
Massachusetts,2003,56291
Michigan,2003,86728
Minnesota,2003,37620
Mississippi,2003,28489
Missouri,2003,55582
Montana,2003,8467
Nebraska,2003,15465
Nevada,2003,17858
New Hampshire,2003,9708
New Jersey,2003,73689
New Mexico,2003,14805
New York,2003,155877
North Carolina,2003,73459
North Dakota,2003,6090
Ohio,2003,109110
Oklahoma,2003,35721
Oregon,2003,30912
Pennsylvania,2003,129769
Rhode Island,2003,10039
South Carolina,2003,38112
South Dakota,2003,7132
Tennessee,2003,57313
Texas,2003,154870
United States,2003,2448288
Utah,2003,13412
Vermont,2003,5120
Virginia,2003,58282
Washington,2003,45920
West Virginia,2003,21306
Wisconsin,2003,46177
Wyoming,2003,4172
Alabama,2004,46121
Alaska,2004,3051
Arizona,2004,43198
Arkansas,2004,27528
California,2004,232525
Colorado,2004,28309
Connecticut,2004,29314
Delaware,2004,7143
District of Columbia,2004,5454
Florida,2004,169008
Georgia,2004,65818
Hawaii,2004,9030
Idaho,2004,10028
Illinois,2004,102670
Indiana,2004,54211
Iowa,2004,26897
Kansas,2004,23818
Kentucky,2004,38646
Louisiana,2004,42215
Maine,2004,12443
Maryland,2004,43232
Massachusetts,2004,54511
Michigan,2004,85169
Minnesota,2004,37034
Mississippi,2004,27871
Missouri,2004,53950
Montana,2004,8094
Nebraska,2004,14657
Nevada,2004,17929
New Hampshire,2004,10111
New Jersey,2004,71371
New Mexico,2004,14298
New York,2004,152681
North Carolina,2004,72384
North Dakota,2004,5601
Ohio,2004,106288
Oklahoma,2004,34483
Oregon,2004,30313
Pennsylvania,2004,127640
Rhode Island,2004,9769
South Carolina,2004,37276
South Dakota,2004,6833
Tennessee,2004,55829
Texas,2004,152870
United States,2004,2397615
Utah,2004,13331
Vermont,2004,4995
Virginia,2004,56550
Washington,2004,44770
West Virginia,2004,20793
Wisconsin,2004,45600
Wyoming,2004,3955
Alabama,2005,47090
Alaska,2005,3168
Arizona,2005,45827
Arkansas,2005,28055
California,2005,237037
Colorado,2005,29627
Connecticut,2005,29467
Delaware,2005,7472
District of Columbia,2005,5483
Florida,2005,170791
Georgia,2005,66736
Hawaii,2005,9136
Idaho,2005,10556
Illinois,2005,103974
Indiana,2005,55675
Iowa,2005,27811
Kansas,2005,24682
Kentucky,2005,40223
Louisiana,2005,44355
Maine,2005,12868
Maryland,2005,43892
Massachusetts,2005,53874
Michigan,2005,86867
Minnesota,2005,37535
Mississippi,2005,29196
Missouri,2005,54656
Montana,2005,8528
Nebraska,2005,14963
Nevada,2005,19029
New Hampshire,2005,10194
New Jersey,2005,71963
New Mexico,2005,14983
New York,2005,152427
North Carolina,2005,74638
North Dakota,2005,5744
Ohio,2005,109031
Oklahoma,2005,36180
Oregon,2005,31091
Pennsylvania,2005,129532
Rhode Island,2005,10007
South Carolina,2005,38707
South Dakota,2005,7086
Tennessee,2005,57260
Texas,2005,156457
United States,2005,2448017
Utah,2005,13432
Vermont,2005,5066
Virginia,2005,57855
Washington,2005,46203
West Virginia,2005,20780
Wisconsin,2005,46709
Wyoming,2005,4099
Alabama,2006,46977
Alaska,2006,3354
Arizona,2006,46365
Arkansas,2006,27901
California,2006,237126
Colorado,2006,29521
Connecticut,2006,29260
Delaware,2006,7204
District of Columbia,2006,5344
Florida,2006,170066
Georgia,2006,67808
Hawaii,2006,9432
Idaho,2006,10613
Illinois,2006,102171
Indiana,2006,55622
Iowa,2006,27362
Kansas,2006,24553
Kentucky,2006,40102
Louisiana,2006,40045
Maine,2006,12294
Maryland,2006,43582
Massachusetts,2006,53450
Michigan,2006,86042
Minnesota,2006,37028
Mississippi,2006,28564
Missouri,2006,54681
Montana,2006,8472
Nebraska,2006,14899
Nevada,2006,18872
New Hampshire,2006,10060
New Jersey,2006,70356
New Mexico,2006,15296
New York,2006,148806
North Carolina,2006,74716
North Dakota,2006,5868
Ohio,2006,106825
Oklahoma,2006,35427
Oregon,2006,31380
Pennsylvania,2006,125539
Rhode Island,2006,9690
South Carolina,2006,38761
South Dakota,2006,7084
Tennessee,2006,56838
Texas,2006,157150
United States,2006,2426264
Utah,2006,13764
Vermont,2006,5048
Virginia,2006,57690
Washington,2006,46120
West Virginia,2006,20672
Wisconsin,2006,46153
Wyoming,2006,4311
Alabama,2007,46696
Alaska,2007,3463
Arizona,2007,45554
Arkansas,2007,28191
California,2007,233720
Colorado,2007,29993
Connecticut,2007,28651
Delaware,2007,7327
District of Columbia,2007,5188
